Date,Time (24h),Humidity(%),Weather,Temperature (C) ,Location,,,,
08-07-23,16,72.31,Sunny,29.3,"6.867818, 79.967296",,,,
08-11-23,9,68.64,Sunny,29.4,"6.867690, 79.967585",,,,
14-08-23,10,63.15,Windy,29.8,"6.867690, 79.967585",,,,
08-10-23,10,67.64,Cloudy,29.3,"6.867603, 79.967033",,,,
08-07-23,16,76.22,Sunny,29.5,"6.867818, 79.967296",,,,
08-02-23,17,79.45,Windy,29.0,"6.867818, 79.967296",,,,
08-11-23,9,71.94,Sunny,29.8,"6.867818, 79.967501",,,,
08-02-23,9,71.73,Sunny,29.3,"6.867818, 79.967501",,,,
08-11-23,18,82.14,Cloudy,29.1,"6.867818, 79.967501",,,,
08-12-23,9,70.28,Rainy,29.5,"6.867603, 79.967033",,,,
13-08-23,11,63.13,Windy,29.5,"6.867451, 79.967261",,,,
08-07-23,11,65.37,Sunny,29.3,"6.867818, 79.967296",,,,
08-10-23,10,62,Cloudy,29.8,"6.867451, 79.967261",,,,
17-08-23,11,69.13,Sunny,28.7,"6.867818, 79.967296",,,,
15-08-23,17,72.63,Windy,30.3,"6.867818, 79.967501",,,,
28-08-23,11,68.32,Rainy,32.6,"6.867818, 79.967296",,,,
08-02-23,10,67.92,Sunny,28.5,"6.867818, 79.967501",,,,
08-11-23,18,79.23,Cloudy,27.6,"6.867818, 79.967501",,,,
08-09-23,10,63.55,Sunny,30.3,"6.867690, 79.967585",,,,
15-08-23,16,71.94,Windy,29.8,"6.867818, 79.967501",,,,
08-11-23,9,68.84,Sunny,29.5,"6.867818, 79.967296",,,,
08-02-23,11,62.13,Sunny,29.8,"6.867818, 79.967501",,,,
08-02-23,17,76.92,Windy,29.3,"6.867818, 79.967296",,,,
14-08-23,9,68.64,Windy,29.5,"6.867451, 79.967261",,,,
17-08-23,11,61,Sunny,29.0,"6.867818, 79.967296",,,,
08-09-23,16,79.13,Sunny,29.1,"6.867690, 79.967585",,,,
13-08-23,11,63.54,Windy,29.3,"6.867451, 79.967261",,,,
17-08-23,11,62.63,Sunny,29.1,"6.867818, 79.967296",,,,
08-04-23,17,79.12,Sunny,29.5,"6.867818, 79.967501",,,,
19-08-23,10,65.47,Cloudy,29.5,"6.867690, 79.967585",,,,
21-08-23,17,78.58,Sunny,29.3,"6.867818, 79.967296",,,,
08-07-23,11,63,Sunny,28.6,"6.867818, 79.967296",,,,
28-08-23,17,81.56,Rainy,29.8,"6.867818, 79.967501",,,,
08-02-23,17,80.94,Windy,30.7,"6.867818, 79.967296",,,,
08-11-23,18,76.81,Cloudy,27.5,"6.867818, 79.967501",,,,
20-08-23,10,66.84,Sunny,30.5,"6.867818, 79.967296",,,,
14-08-23,9,69.23,Windy,28,"6.867818, 79.967296",,,,
19-08-23,10,61.22,Cloudy,30.2,"6.867690, 79.967585",,,,
21-08-23,16,73.63,Sunny,30.6,"6.867690, 79.967585",,,,
08-07-23,11,62.14,Sunny,28,"6.867818, 79.967296",,,,
28-08-23,11,69.27,Rainy,31.8,"6.867690, 79.967585",,,,
08-02-23,17,79,Windy,30,"6.867818, 79.967296",,,,
08-11-23,16,78.95,Cloudy,28.2,"6.867818, 79.967501",,,,
21-08-23,17,76.96,Sunny,31.9,"6.867690, 79.967585",,,,
08-07-23,11,63.52,Sunny,28.3,"6.867818, 79.967296",,,,
28-08-23,11,69.88,Rainy,31.5,"6.867818, 79.967296",,,,
08-02-23,10,67,Sunny,28.3,"6.867818, 79.967501",,,,
